line;from_id;to_id;weight;off_peak;am_peak;inter_peak
4;295;3;2.23;2.18;2.46;2.05
4;3;263;2.85;1.87;3.03;3.65
4;263;166;1.49;1.48;1.5;1.5
4;166;44;0.96;0.88;1;1
4;44;161;1.31;0.93;1.5;1.5
4;161;25;1.41;1.22;1.5;1.5
4;25;255;1.46;1.37;1.5;1.5
4;255;87;1.81;1.43;2;2
4;87;285;1.47;1.4;1.5;1.5
4;285;248;1.51;1.52;1.5;1.5
4;248;273;1.78;1.33;2;2
4;273;229;1.92;1.75;2;2
4;229;236;2.5;2;3;2.5
4;236;99;1.83;1.48;2;2.01
4;99;74;2.82;1.82;3.04;3.59
4;83;193;1.95;1.85;2;2
4;193;18;1.88;1.65;2;2
4;18;186;1.82;1.47;2;2
4;186;122;2.74;1.58;3.28;3.36
4;122;74;3.55;2.72;4.11;3.82
4;74;138;3.03;3.08;3;3
4;74;287;1.47;1.42;1.5;1.5
4;287;96;1.52;1.55;1.5;1.5
4;96;195;1.83;1.5;2;2
4;195;205;2.44;2.32;2.5;2.5
4;205;80;2.06;2.18;2;2
4;80;231;2.45;2.35;2.5;2.5
4;231;300;2.35;2.05;2.5;2.51
4;300;299;3.2;3.5;3.02;3.08
4;74;293;1.87;1.62;2;2
4;293;17;1.44;1.32;1.5;1.5
4;17;110;1.44;1.33;1.5;1.5
4;110;209;1.88;1.63;2;2
4;209;242;1.46;1.37;1.5;1.5
4;242;265;1.57;1.17;1.97;1.58
4;265;52;1.86;1.58;2;2
4;52;1;2.17;1.83;2.63;2.06
4;1;73;1.83;1.5;2;2
4;73;72;3.51;3.5;3.5;3.54
4;265;108;2.81;2.28;3.15;3
4;108;141;2.48;2.43;2.5;2.5
4;141;213;3.72;4.1;3.57;3.5
4;72;73;2.89;2.67;3;3
4;73;1;2.71;1.9;3.26;2.96
4;1;52;1.93;1.8;2;2
4;52;265;1.88;1.48;2.07;2.09
4;265;242;1.38;1.15;1.5;1.5
4;242;209;1.47;1.4;1.5;1.5
4;209;110;1.95;1.85;2;2
4;110;17;1.81;1.43;2;2
4;17;293;1.43;1.28;1.5;1.5
4;293;74;2.7;2.17;2.63;3.3
4;213;141;3.04;3.1;3.02;3
4;141;108;2.81;2.42;3;3
4;108;265;3.43;2.6;4.02;3.67
4;299;300;2.94;2.82;3;3
4;300;231;2.06;2.18;2;2
4;231;80;2.46;2.37;2.5;2.5
4;80;205;1.95;1.85;2;2
4;205;195;1.97;1.92;2;2
4;195;96;1.83;1.48;2;2
4;96;287;1.52;1.57;1.5;1.5
4;287;74;2.7;1.42;3.44;3.24
4;138;74;3.44;2.73;3.65;3.94
4;74;122;3.25;3.05;3.58;3.12
4;122;186;1.89;1.68;2;2
4;186;18;1.92;1.77;2;2
4;18;193;2.03;1.63;2.45;2.01
4;193;83;2.38;2.15;2.5;2.5
4;74;99;2.37;1.92;2.53;2.65
4;99;236;1.48;1.43;1.5;1.5
4;236;229;1.99;1.98;2;2
4;229;273;1.93;1.8;2;2
4;273;248;1.47;1.42;1.5;1.5
4;248;285;1.83;1.5;2;2
4;285;87;1.79;1.37;2;2
4;87;255;1.79;1.37;2;2
4;255;25;1.8;1.4;2;2
4;25;161;1.67;1.52;1.98;1.52
4;161;44;0.99;0.98;1;1
4;44;166;1.32;0.97;1.5;1.5
4;166;263;2.1;1.8;2.08;2.43
4;263;3;2.33;1.88;2.91;2.21
4;3;295;2.55;2.17;2.72;2.76
4;295;244;2.02;2.05;2;2
4;244;164;1.91;1.73;2;2
4;164;33;1.43;1.27;1.51;1.5
4;33;36;2.04;2.12;2;2
4;36;289;2;2;2;2
4;289;200;1.82;1.43;2.04;2
4;200;270;1.99;1.97;2;2
4;270;78;2.01;2.02;2;2
4;78;15;3.91;3.78;3.9;4.06
4;15;269;2.01;1.97;2.05;2.01
4;269;21;2.45;2.33;2.5;2.51
4;21;67;2.3;1.88;2.5;2.51
4;67;66;2.12;1.85;2.22;2.3
4;66;85;2.95;2.85;3;3
4;85;129;2.35;2.05;2.5;2.5
4;129;268;1.92;1.77;2;2
4;268;267;2.12;2.32;2.03;2.01
5;174;253;3.87;3.62;4;4
5;175;253;3.27;2.8;3.5;3.5
5;253;41;1.49;1.47;1.5;1.5
5;41;216;0.95;0.85;1;1
5;216;276;1.39;1.17;1.5;1.5
5;276;225;1.48;1.43;1.5;1.5
5;225;295;2.22;1.98;2.5;2.17
5;295;228;1.95;1.85;2;2
5;228;295;1.87;1.6;2;2
5;295;225;1.94;1.82;2;2
5;225;276;1.43;1.3;1.5;1.5
5;276;216;1.39;1.17;1.5;1.5
5;216;41;0.98;0.93;1;1
5;41;253;1.93;1.7;2;2.09
5;253;174;4.42;4.27;4.5;4.5
5;253;175;3.63;3.88;3.5;3.5
6;110;101;2.02;2.05;2;2
6;101;227;1.38;1.15;1.5;1.5
6;227;150;1.88;1.63;2;2
6;150;147;1.46;1.37;1.5;1.5
6;147;283;1.49;1.48;1.5;1.5
6;283;218;1.93;1.78;2;2
6;218;193;1.84;1.52;2;2
6;193;83;3.25;2.33;3.71;3.72
6;83;11;2.27;1.47;2.84;2.5
6;11;104;1.97;1.9;2;2
6;104;90;1.42;1.25;1.5;1.5
6;90;145;1.92;1.75;2;2
6;145;92;3.33;2.98;3.5;3.5
6;92;14;1.41;1.22;1.5;1.5
6;14;167;1.45;1.32;1.53;1.5
6;167;156;1.55;1.18;1.95;1.51
6;156;3;2.62;1.93;3.14;2.78
6;3;295;2.23;2.17;2.5;2.01
6;295;244;2.02;2.05;2;2
6;244;164;1.91;1.73;2;2
6;164;33;1.42;1.27;1.5;1.5
6;33;36;2.04;2.12;2;2
6;36;289;2;2;2;2
6;289;200;1.91;1.43;2.26;2.04
6;200;270;1.99;1.97;2;2
6;270;78;2.01;2.02;2;2
6;78;15;3.62;3.78;3.6;3.49
6;15;78;2.96;2.87;3;3
6;78;270;2.33;2;2.5;2.5
6;270;200;1.98;1.93;2;2
6;200;289;1.5;1.5;1.5;1.5
6;289;36;2.04;2.12;2;2
6;36;33;2.41;2.23;2.5;2.5
6;33;164;1.42;1.27;1.5;1.5
6;164;244;1.91;1.72;2;2
6;244;295;2.89;2.63;3.48;2.56
6;295;3;2.23;2.18;2.45;2.06
6;3;156;3.01;2.12;3.02;3.88
6;156;167;1.44;1.32;1.5;1.5
6;167;14;1.46;1.38;1.5;1.5
6;14;92;1.54;1.2;1.92;1.51
6;92;145;3.37;3.12;3.5;3.5
6;145;90;1.88;1.65;2;2
6;90;104;1.43;1.3;1.5;1.5
6;104;11;2.18;1.57;2.9;2.07
6;11;83;2.85;1.88;3.6;3.08
6;83;193;2.03;2.08;2;2
6;193;218;1.44;1.33;1.5;1.5
6;218;283;1.91;1.72;2;2
6;283;147;1.49;1.48;1.5;1.5
6;147;150;1.43;1.28;1.5;1.5
6;150;227;1.9;1.7;2;2
6;227;101;1.05;1.15;1;1
6;101;110;2.84;2.43;3.07;3.03
7;243;45;1.98;1.95;2;2
7;45;207;2.31;1.93;2.5;2.5
7;207;144;1.91;1.72;2;2
7;144;282;4.25;3.47;4.73;4.56
7;282;172;2.88;2.6;3.03;3.01
7;172;71;1.48;1.43;1.5;1.5
7;71;297;2.02;1.8;2.11;2.14
7;297;142;1.89;1.68;2;2
7;142;290;2.04;1.63;2.5;2
7;290;94;1.42;1.25;1.5;1.5
7;94;254;1.39;1.18;1.5;1.5
7;254;249;1.84;1.52;2;2
7;249;11;3.26;2.77;3.5;3.5
7;11;28;2.37;2.1;2.5;2.5
7;28;107;2.26;1.78;2.5;2.5
7;107;285;2.29;1.87;2.5;2.5
7;285;279;1.79;1.38;2;2
7;279;233;1.01;1.02;1;1
7;233;157;2.22;1.65;2.5;2.5
7;157;23;2.42;2.25;2.5;2.5
7;23;41;1.83;1.48;2;2
7;41;42;2.84;2.5;3;3.02
7;42;183;2.97;2.23;3.19;3.49
7;183;43;2.38;2.15;2.5;2.5
7;43;289;2.55;2.15;2.93;2.58
7;289;247;3.94;3.15;4.9;3.77
7;247;289;3.01;2.42;3.5;3.12
7;289;43;2.38;2.13;2.5;2.5
7;43;183;2.74;2.17;3.07;2.99
7;183;42;2.34;1.98;2.55;2.5
7;42;41;2.88;2.63;3;3
7;41;23;1.84;1.52;2;2
7;23;157;2.39;2.17;2.5;2.5
7;157;233;1.92;1.77;2;2
7;233;279;1.32;0.97;1.5;1.5
7;279;285;1.96;1.43;2.44;2.01
7;285;107;1.94;1.82;2;2.01
7;107;28;2.27;1.82;2.5;2.5
7;28;11;2.43;2.28;2.5;2.5
7;11;249;3.28;2.85;3.5;3.5
7;249;254;1.51;1.52;1.5;1.5
7;254;94;1.73;1.18;2;2
7;94;290;1.4;1.2;1.5;1.51
7;290;142;1.85;1.55;2;2
7;142;297;2.2;2.07;2.32;2.22
7;297;71;1.89;1.67;2;2
7;71;172;1.5;1.38;1.62;1.5
7;172;282;3.31;2.65;3.76;3.53
7;282;144;3.82;3.47;4;4
7;144;207;1.95;1.85;2;2
7;207;45;2.41;2.23;2.5;2.5
7;45;243;3.07;2.87;3.24;3.09
8;2;156;2.04;1.75;2;2.38
8;156;167;1.44;1.32;1.5;1.5
8;167;14;1.46;1.38;1.5;1.5
8;14;92;1.55;1.2;1.95;1.5
8;92;145;3.37;3.12;3.5;3.5
8;145;90;1.88;1.65;2;2
8;90;104;1.43;1.3;1.5;1.5
8;104;11;3.38;2.23;4.08;3.82
8;11;94;5.54;5.55;5.55;5.51
8;94;282;7;7.05;6.95;7
8;282;202;2.37;2.12;2.5;2.5
8;202;178;2.43;2.3;2.5;2.5
8;178;115;3.29;2.32;4.53;3.03
8;94;115;11.01;11.02;11;11
8;115;291;2.11;2.32;2;2
8;291;210;2.37;2.05;2.57;2.5
8;210;75;2.42;2.23;2.52;2.5
8;75;222;1.95;1.82;2.02;2
8;222;220;1.46;1.35;1.52;1.5
8;220;134;2.56;2.57;2.6;2.5
8;134;125;1.92;1.75;2;2
8;125;271;3.88;4.08;4.02;3.54
8;115;184;3.06;3.18;3;3
8;184;199;2.33;2;2.5;2.5
8;199;180;2.53;2.6;2.5;2.5
8;180;179;2.41;2.23;2.5;2.5
8;179;168;2.85;2.55;3;3
8;115;168;9.34;9.03;9.5;9.5
8;168;62;4.44;4.33;4.5;4.5
8;62;280;3.57;3.6;3.6;3.5
8;168;214;4.71;4.13;5;5
8;214;53;4.01;4.03;4;4
8;53;46;4.38;3.95;4.68;4.5
8;46;50;8.87;9.48;8.64;8.5
8;46;6;4.02;4.07;4;4
8;6;46;3.88;3.65;4;4
8;50;46;9.04;9.63;9;8.5
8;46;53;3.89;3.68;4;4
